,id,Number of Reviews
0,d12845029,1.0
1,d10058810,
2,d8791087,1.0
3,d13197631,48.0
4,d12243659,1.0
5,d13284434,22.0
6,d12068247,
7,d2424319,1.0
8,d13139218,2.0
9,d7243246,
10,d8660001,2.0
11,d12572658,2.0
12,d4946996,1.0
13,d8339930,2.0
14,d12049003,1.0
15,d12384552,4.0
16,d10724032,1.0
17,d12114896,1.0
18,d5442851,3.0
19,d7996902,1.0
20,d1354477,1.0
21,d11958460,1.0
22,d12098434,2.0
23,d10079338,
24,d12842987,2.0
25,d13226281,3.0
26,d12229735,1.0
27,d1043805,2.0
28,d7246537,1.0
29,d12175079,1.0
30,d4173077,1.0
31,d7724601,1.0
32,d12875617,5.0
33,d12172734,2.0
34,d11543758,1.0
35,d3735823,1.0
36,d12322989,3.0
37,d4768291,3.0
38,d10587448,20.0
39,d12873448,6.0
40,d11861153,1.0
41,d8571233,3.0
42,d9752550,
43,d10818786,2.0
44,d7124393,1.0
45,d8602510,1.0
46,d11951673,23.0
47,d12404527,5.0
48,d7160467,1.0
49,d11812785,1.0
50,d11871901,2.0
51,d5583335,
52,d7787852,1.0
53,d10467094,3.0
54,d11950716,2.0
55,d12883544,11.0
56,d13206566,
57,d13153300,17.0
58,d7205059,6.0
59,d13152856,56.0
60,d6224819,1.0
61,d10524857,5.0
62,d7274076,1.0
63,d3367014,1.0
64,d10479056,
65,d12691511,3.0
66,d5862958,
67,d12395922,1.0
68,d7045726,1.0
69,d13125687,6.0
70,d5617497,1.0
71,d13284579,5.0
72,d12911571,
73,d5981992,0.0
74,d12408013,2.0
75,d13239000,21.0
76,d12567561,4.0
77,d7124407,1.0
78,d9740773,3.0
79,d717321,1.0
80,d8871731,1.0
81,d6380666,1.0
82,d10486190,
83,d13133990,14.0
84,d6986251,1.0
85,d7123548,1.0
86,d939738,1.0
87,d8333948,11.0
88,d10529250,2.0
89,d1044850,1.0
90,d12933690,11.0
91,d5122077,
92,d8339780,4.0
93,d10320753,1.0
94,d6107125,1.0
95,d12135807,1.0
96,d4769848,4.0
97,d11434812,6.0
98,d13002781,18.0
99,d12864876,17.0
100,d1320095,1.0
101,d11538645,
102,d4758586,2.0
103,d12351411,1.0
104,d997606,1.0
105,d12857123,4.0
106,d13135431,2.0
107,d13282850,
108,d11510425,3.0
109,d11829633,4.0
110,d1039258,1.0
111,d12421545,
112,d11771269,1.0
113,d7123406,1.0
114,d13130053,4.0
115,d2096383,1.0
116,d1356813,2.0
117,d10034211,4.0
118,d10049578,
119,d13129650,11.0
120,d12322543,
121,d13082910,39.0
122,d13288611,11.0
123,d12149655,1.0
124,d10032359,
125,d11500668,2.0
126,d4041933,1.0
127,d11719295,
128,d8279370,1.0
129,d6458692,1.0
130,d3791760,1.0
131,d10662137,3.0
132,d12946257,2.0
133,d13081831,17.0
134,d13117362,4.0
135,d12874574,
136,d8518295,
137,d12792802,2.0
138,d12554634,5.0
139,d13205446,4.0
140,d13421037,30.0
141,d1486745,1.0
142,d4084438,1.0
143,d8339618,1.0
144,d1103687,1.0
145,d12558178,
146,d4768775,1.0
147,d12832409,4.0
148,d7236057,2.0
149,d5816301,
150,d718042,1.0
151,d986430,1.0
152,d6999656,35.0
153,d10365832,2.0
154,d10470712,1.0
155,d4793252,1.0
156,d991499,2.0
157,d8385113,1.0
158,d8774827,1.0
159,d13189517,18.0
160,d12501561,3.0
161,d11712376,1.0
162,d4914376,3.0
163,d5243162,2.0
164,d5259633,1.0
165,d12959653,25.0
166,d1390604,
167,d13125943,3.0
168,d3200465,4.0
169,d13008535,1.0
170,d10347570,1.0
171,d13234497,11.0
172,d5936442,1.0
173,d13201288,58.0
174,d10517142,1.0
175,d8017741,1.0
176,d10019835,
177,d5955847,1.0
178,d7342196,1.0
179,d5795620,
180,d12242560,33.0
181,d8848749,1.0
182,d5794562,2.0
183,d12850963,
184,d13199889,67.0
185,d1234581,1.0
186,d697197,1.0
187,d1037140,4.0
188,d9882080,
189,d12431424,1.0
190,d718357,1.0
191,d1657483,1.0
192,d13126117,4.0
193,d12978805,2.0
194,d7123598,1.0
195,d12506505,
196,d12865525,
197,d12824847,2.0
198,d13172157,16.0
199,d3576247,1.0
200,d10584149,1.0
201,d8819098,2.0
202,d13274922,12.0
203,d9561885,
204,d4928913,2.0
205,d5972492,
206,d1195848,9.0
207,d12560018,1.0
208,d12557822,
209,d4221407,1.0
210,d3136268,1.0
211,d9824211,
212,d10266278,1.0
213,d9809593,1.0
214,d720646,2.0
215,d5959108,
216,d8261504,1.0
217,d12621405,8.0
218,d13197525,5.0
219,d7294241,1.0
220,d10071825,
221,d1571579,1.0
222,d10288999,1.0
223,d12625557,275.0
224,d13149351,
225,d4770140,1.0
226,d12731915,2.0
227,d7604228,1.0
228,d5794927,
229,d12716306,3.0
230,d9766113,
231,d8581485,2.0
232,d1185140,1.0
233,d8361333,
234,d10416601,1.0
235,d2085945,1.0
236,d1044344,2.0
237,d7597162,1.0
238,d7811215,1.0
239,d13129071,9.0
240,d13477951,1.0
241,d5816217,
242,d12438465,2.0
243,d5523143,1.0
244,d13195587,3.0
245,d11668002,4.0
246,d12210518,1.0
247,d12944013,5.0
248,d3439658,2.0
249,d12071777,1.0
250,d5489226,
251,d8610209,
252,d8130518,1.0
253,d8537733,1.0
254,d11737291,3.0
255,d5027108,1.0
256,d12867921,
257,d878295,
258,d12148796,
259,d8834124,1.0
260,d12926411,1.0
261,d13289876,2.0
262,d7897018,
263,d1093661,1.0
264,d12394472,
265,d13116812,1.0
266,d12388275,1.0
267,d12645762,2.0
268,d12362761,22.0
269,d2708688,1.0
270,d12551161,19.0
271,d12714398,12.0
272,d10458829,2.0
273,d7124148,1.0
274,d13298288,37.0
275,d10045197,2.0
276,d12949974,7.0
277,d7083435,1.0
278,d3568532,1.0
279,d12948479,
280,d12926349,116.0
281,d8051417,2.0
282,d12331315,8.0
283,d13115764,7.0
284,d12950426,345.0
285,d8873363,1.0
286,d3250778,1.0
287,d5079223,1.0
288,d9731847,2.0
289,d12718154,6.0
290,d8715608,1.0
291,d10804548,5.0
292,d5440386,
293,d12342225,1.0
294,d3163336,3.0
295,d6874868,
296,d10188263,3.0
297,d4523130,3.0
298,d12844056,7.0
299,d5795229,
300,d9730844,2.0
301,d4782938,1.0
302,d11895709,5.0
303,d4176712,1.0
304,d5220267,4.0
305,d7810324,1.0
306,d9821093,1.0
307,d7316049,1.0
308,d11918759,
309,d7154757,1.0
310,d5788938,9.0
311,d11827759,2.0
312,d10478201,1.0
313,d9729242,
314,d13283785,33.0
315,d7277869,1.0
316,d12822105,2.0
317,d6610712,1.0
318,d2717760,1.0
319,d6479082,1.0
320,d12938820,6.0
321,d1441087,1.0
322,d7123968,2.0
323,d12535806,124.0
324,d8339966,1.0
325,d2626097,1.0
326,d12571872,4.0
327,d1045067,1.0
328,d12859960,2.0
329,d10463660,1.0
330,d8126733,1.0
331,d4894368,1.0
332,d13189918,4.0
333,d12345338,1.0
334,d8059389,1.0
335,d13313019,13.0
336,d7124099,1.0
337,d11890774,1.0
338,d8642360,3.0
339,d8020108,1.0
340,d12866521,
341,d8537653,1.0
342,d11804604,3.0
343,d8795367,1.0
344,d6484155,1.0
345,d12801621,3.0
346,d12581319,
347,d4523210,2.0
348,d5243111,
349,d6618592,1.0
350,d5507497,
351,d8396334,
352,d12872056,3.0
353,d12674982,3.0
354,d13083533,8.0
355,d11953114,59.0
356,d10314483,8.0
357,d5489499,5.0
358,d12963001,40.0
359,d4869692,1.0
360,d8574615,
361,d7124004,1.0
362,d7148431,1.0
363,d1038835,
364,d10073799,2.0
365,d12281790,1.0
366,d1381569,1.0
367,d970070,1.0
368,d13296811,25.0
369,d10400824,2.0
370,d3929215,1.0
371,d12712244,3.0
372,d12809213,3.0
373,d8339754,1.0
374,d997608,
375,d4767800,1.0
376,d13307726,25.0
377,d9570812,2.0
378,d12415049,1.0
379,d7124403,2.0
380,d12353487,1.0
381,d12868561,6.0
382,d13296894,17.0
383,d4911290,
384,d5853771,
385,d1126334,1.0
386,d4769127,5.0
387,d12941805,3.0
388,d13090225,1.0
389,d6975911,1.0
390,d695169,1.0
391,d12438915,3.0
392,d12882182,7.0
393,d5037158,1.0
394,d11845274,1.0
395,d11905347,1.0
396,d2615209,1.0
397,d12691333,3.0
398,d8143844,2.0
399,d4768419,1.0
400,d12936857,20.0
401,d10782466,2.0
402,d13313742,664.0
403,d12259416,
404,d7274071,2.0
405,d9566719,1.0
406,d740562,1.0
407,d12794200,3.0
408,d12840183,29.0
409,d13087336,7.0
410,d12184436,1.0
411,d10119558,1.0
412,d10494780,5.0
413,d2403779,1.0
414,d11650771,261.0
415,d12086831,12.0
416,d10479257,2.0
417,d1044683,1.0
418,d11180137,1.0
419,d5122066,
420,d8336199,1.0
421,d1344567,6.0
422,d10227074,1.0
423,d1408643,1.0
424,d10031781,1.0
425,d997902,1.0
426,d7278591,2.0
427,d2333087,1.0
428,d12398758,2.0
429,d7755331,1.0
430,d5513568,3.0
431,d13323876,23.0
432,d12593503,4.0
433,d11815592,1.0
434,d10354535,1.0
435,d8773673,4.0
436,d8374350,
437,d12653872,
438,d12663216,1.0
439,d11807584,1.0
440,d12907038,2.0
441,d12243652,4.0
442,d10467852,34.0
443,d4295316,2.0
444,d13130305,2.0
445,d1346410,1.0
446,d12975733,53.0
447,d7177813,
448,d7704824,1.0
449,d12554985,2.0
450,d1520748,1.0
451,d6847457,1.0
452,d9807418,
453,d7646307,
454,d12170237,2.0
455,d12725106,3.0
456,d12459158,3.0
457,d1044859,1.0
458,d7009351,1.0
459,d12051419,1.0
460,d10036970,2.0
461,d12831436,1.0
462,d4191973,1.0
463,d2709308,
464,d12986583,1.0
465,d10613450,1.0
466,d5264393,
467,d11444223,4.0
468,d12511912,1.0
469,d7123300,1.0
470,d13222806,8.0
471,d13322773,9.0
472,d11891423,1.0
473,d12188872,1.0
474,d12595830,2.0
475,d4223621,1.0
476,d2303957,1.0
477,d12252151,
478,d9746329,4.0
479,d13138647,7.0
480,d12963283,5.0
481,d10686709,1.0
482,d10238246,1.0
483,d12207887,17.0
484,d1221241,1.0
485,d8499678,
486,d12901191,1.0
487,d2424335,1.0
488,d7246419,2.0
489,d5416433,2.0
490,d10121032,1.0
491,d5821532,1.0
492,d12681930,4.0
493,d12281218,1.0
494,d10595748,1.0
495,d10119696,1.0
496,d8286616,1.0
497,d12728587,18.0
498,d11749392,12.0
499,d697495,1.0
500,d13448920,11.0
501,d8618839,1.0
502,d12099522,142.0
503,d1336436,1.0
504,d12367943,1.0
505,d13172573,9.0
506,d12945767,2.0
507,d8341119,2.0
508,d11903301,
509,d12877045,1.0
510,d5864094,
511,d4567619,1.0
512,d10926213,3.0
513,d6654430,1.0
514,d5487305,
515,d2565207,1.0
516,d13002706,3.0
517,d1043452,1.0
518,d7257385,2.0
519,d7604609,3.0
520,d12323318,2.0
521,d5981454,
522,d953869,1.0
523,d964392,3.0
524,d4769835,2.0
525,d8356846,1.0
526,d12995124,1.0
527,d11701638,
528,d5823734,1.0
529,d10809300,1.0
530,d12856867,3.0
531,d12921238,1.0
532,d11672861,1.0
533,d11659486,1.0
534,d12403563,11.0
535,d12327525,6.0
536,d12484825,2.0
537,d12557369,5.0
538,d13140195,5.0
539,d2179931,1.0
540,d6408073,1.0
541,d11779008,2.0
542,d13001031,7.0
543,d12286589,2.0
544,d5793149,3.0
545,d12120952,1.0
546,d987862,1.0
547,d5977410,6.0
548,d7123807,1.0
549,d8339657,2.0
550,d11722642,1.0
551,d13128175,
552,d7002316,1.0
553,d12718013,15.0
554,d4769850,2.0
555,d2716915,1.0
556,d1418401,1.0
557,d4767695,1.0
558,d12951633,2.0
559,d12128375,
560,d12814397,8.0
561,d10257704,1.0
562,d10745091,1.0
563,d7381256,2.0
564,d8855240,1.0
565,d8066638,1.0
566,d5967142,1.0
567,d12863016,2.0
568,d13138355,69.0
569,d1044376,1.0
570,d12480641,3.0
571,d7365820,1.0
572,d13008769,10.0
573,d12944085,1.0
574,d13124268,32.0
575,d13168011,10.0
576,d959169,0.0
577,d1093698,1.0
578,d13137452,
579,d5928000,1.0
580,d9831596,5.0
581,d13134976,8.0
582,d9791609,
583,d10597222,3.0
584,d12333767,6.0
585,d13323033,9.0
586,d12173513,13.0
587,d12511265,4.0
588,d12115354,
589,d10044991,3.0
590,d9808238,
591,d11662075,
592,d11719480,
593,d2354931,1.0
594,d12924018,29.0
595,d12616105,1.0
596,d12829129,6.0
597,d12323149,3.0
598,d697439,1.0
599,d752024,1.0
600,d1437776,1.0
601,d12640836,6.0
602,d6892655,1.0
603,d10041704,
604,d3365247,1.0
605,d10746733,
606,d12621246,1.0
607,d2630257,1.0
608,d3842071,1.0
609,d12429488,4.0
610,d13118046,3.0
611,d10673544,3.0
612,d11535573,1.0
613,d12911510,1.0
614,d10781416,1.0
615,d12145665,2.0
616,d12430691,2.0
617,d7124051,2.0
618,d5808982,
619,d4138116,1.0
620,d11863669,2.0
621,d7314699,1.0
622,d7123983,1.0
623,d13110521,4.0
624,d9849074,1.0
625,d5603650,1.0
626,d8665899,
627,d12218015,2.0
628,d4221315,1.0
629,d694690,1.0
630,d5874770,2.0
631,d10763390,3.0
632,d12235014,5.0
633,d10520812,11.0
634,d12827306,8.0
635,d5509753,1.0
636,d10467233,
637,d1359321,1.0
638,d986484,1.0
639,d12629402,1.0
640,d12115169,6.0
641,d12448243,3.0
642,d13370579,7.0
643,d13325878,6.0
644,d13141931,7.0
645,d11805973,1.0
646,d10440503,2.0
647,d5825901,1.0
648,d13124587,9.0
649,d12200200,6.0
650,d10100590,
651,d12195321,4.0
652,d7934344,2.0
653,d7779011,1.0
654,d5313685,1.0
655,d12365788,1.0
656,d7375787,
657,d11903360,1.0
658,d10629933,3.0
659,d8506748,1.0
660,d3804383,
661,d12383658,
662,d12018135,1.0
663,d12596674,1.0
664,d8469748,
665,d5804248,
666,d1035132,1.0
667,d8339914,2.0
668,d12408653,
669,d4888776,1.0
670,d11667031,3.0
671,d4769994,2.0
672,d13073178,6.0
673,d10838686,1.0
674,d1747477,1.0
675,d10760483,1.0
676,d10335864,1.0
677,d12899302,1.0
678,d12590374,3.0
679,d12966411,41.0
680,d4259609,1.0
681,d8862199,2.0
682,d10123084,
683,d13236358,10.0
684,d11094480,1.0
685,d8463610,1.0
686,d10453899,1.0
687,d11677886,2.0
688,d5048802,1.0
689,d7303597,1.0
690,d13007626,1.0
691,d1346452,1.0
692,d10092998,1.0
693,d2307161,1.0
694,d4770041,1.0
695,d12644299,
696,d12437980,6.0
697,d10380024,
698,d13125675,9.0
699,d12029240,1.0
700,d981805,2.0
701,d7710502,
702,d5220238,
703,d945300,2.0
704,d5489021,
705,d12406954,1.0
706,d7096186,
707,d10643047,
708,d12682249,4.0
709,d10250645,1.0
710,d1051991,1.0
711,d11726692,1.0
712,d10729662,2.0
713,d13126274,6.0
714,d13196483,24.0
715,d1044884,1.0
716,d6920126,1.0
717,d1961665,1.0
718,d4769189,2.0
719,d13142340,10.0
720,d12705373,1.0
721,d12787416,3.0
722,d2514252,1.0
723,d12706207,80.0
724,d13128539,
725,d11878056,13.0
726,d11667056,1.0
727,d5949091,1.0
728,d12511809,1.0
729,d10247952,2.0
730,d10751007,2.0
731,d12357250,3.0
732,d5493285,1.0
733,d12462827,7.0
734,d12320797,4.0
735,d1344076,0.0
736,d13295128,150.0
737,d12320624,2.0
738,d7114413,1.0
739,d10353194,2.0
740,d12362311,8.0
741,d13313748,47.0
742,d11909286,
743,d12945716,2.0
744,d13153502,2.0
745,d12795805,
746,d11729216,2.0
747,d6614670,1.0
748,d13002809,1.0
749,d5851755,1.0
750,d8543091,3.0
751,d9848583,2.0
752,d3469308,1.0
753,d13222001,3.0
754,d716273,2.0
755,d12915944,2.0
756,d12956550,3.0
757,d10805589,5.0
758,d12946443,6.0
759,d5863923,2.0
760,d13284225,5.0
761,d4084875,1.0
762,d7112143,1.0
763,d12878787,1.0
764,d7319177,29.0
765,d7193135,1.0
766,d10766081,10.0
767,d8472692,
768,d5771798,2.0
769,d2061142,1.0
770,d5519160,1.0
771,d13171766,6.0
772,d12981885,8.0
773,d11659366,
774,d12653033,3.0
775,d13405584,6.0
776,d8606830,1.0
777,d5795647,
778,d8363899,1.0
779,d9585526,
780,d12436717,2.0
781,d1381384,1.0
782,d5817299,2.0
783,d7123545,
784,d12959772,1.0
785,d8807807,1.0
786,d13149199,23.0
787,d13135742,5.0
788,d5768344,
789,d7124048,2.0
790,d13292606,15.0
791,d11933039,219.0
792,d3374771,1.0
793,d10108860,1.0
794,d12694862,2.0
795,d10496201,2.0
796,d805474,3.0
797,d5121446,1.0
798,d10357129,2.0
799,d8338479,1.0
800,d8464894,1.0
801,d4352024,1.0
802,d9974974,1.0
803,d11916719,6.0
804,d12542786,1.0
805,d12158176,5.0
806,d12242272,3.0
807,d5509303,
808,d9766274,1.0
809,d9596611,1.0
810,d4453348,1.0
811,d7123241,1.0
812,d13323261,7.0
813,d8692585,
814,d1050549,3.0
815,d695131,1.0
816,d8682347,1.0
817,d7123253,
818,d11753783,1.0
819,d12336098,2.0
820,d12991592,2.0
821,d8341126,3.0
822,d3511763,4.0
823,d13136328,10.0
824,d13008588,5.0
825,d7755549,
826,d1967662,3.0
827,d13004913,25.0
828,d4519869,1.0
829,d5776220,
830,d1389472,2.0
831,d990772,1.0
832,d8768713,5.0
833,d10267135,1.0
834,d8460536,3.0
835,d997943,1.0
836,d12597937,1.0
837,d7653757,1.0
838,d11789075,3.0
839,d1335702,1.0
840,d4768953,0.0
841,d7123992,5.0
842,d12191998,4.0
843,d7124168,1.0
844,d12607828,1.0
845,d11916478,2.0
846,d12158032,9.0
847,d12858841,6.0
848,d7138244,1.0
849,d5981839,
850,d5270630,2.0
851,d13076814,7.0
852,d9790245,3.0
853,d4911420,3.0
854,d6353458,1.0
855,d10198118,2.0
856,d10538213,1.0
857,d12999419,15.0
858,d13417628,6.0
859,d5587738,1.0
860,d6886284,2.0
861,d2141891,1.0
862,d5965954,
863,d12123930,1.0
864,d10214438,1.0
865,d12950858,1.0
866,d8319843,
867,d3974453,1.0
868,d751627,0.0
869,d12692843,2.0
870,d8673906,3.0
871,d10498527,
872,d7021352,1.0
873,d4911023,2.0
874,d13200549,1.0
875,d13272833,1.0
876,d7298618,1.0
877,d12091192,1.0
878,d2705977,1.0
879,d13312967,65.0
